date,hr,mm,percent,cloudy
1964-10-20,10.33,12.8,90.7,9.3
1964-10-21,2.75,0.3,74.7,10.0
1964-10-22,0.0,0.0,61.3,10.0
1964-10-23,0.0,0.0,56.3,6.3
1964-10-24,0.0,0.0,63.0,0.0
1964-10-25,0.0,0.0,70.0,5.0
1964-10-26,0.0,0.0,70.7,0.0
1964-10-27,0.0,0.0,72.3,0.0
1964-10-28,0.0,0.0,75.0,4.7
1964-10-29,0.0,0.0,76.0,0.3
1964-10-30,0.0,0.0,82.7,0.0
1964-10-31,0.78,0.2,84.0,10.0
1964-11-01,4.78,2.1,69.0,3.7
1964-11-02,0.0,0.0,72.7,0.0
1964-11-03,0.08,0.0,73.7,9.0
1964-11-04,4.87,1.7,82.0,9.3
1964-11-05,6.7,3.7,72.3,4.7
1964-11-06,0.12,0.0,56.0,3.7
1964-11-07,0.0,0.0,73.7,4.3
1964-11-08,0.0,0.0,68.3,6.7
1964-11-09,2.17,1.5,71.0,9.7
1964-11-10,3.38,3.7,85.0,3.0
1964-11-11,3.07,10.5,86.3,9.0
1964-11-12,0.0,0.0,70.3,10.0
1964-11-13,3.67,1.7,82.0,10.0
1964-11-14,0.0,0.0,71.3,5.0
1964-11-15,0.0,0.0,80.0,3.7
1964-11-16,0.0,0.0,75.0,0.7
1964-11-17,0.0,0.0,74.3,0.3
1964-11-18,0.72,1.0,83.0,3.3
1964-11-19,0.0,0.0,72.0,0.0
1964-11-20,1.68,0.3,79.3,6.7
1964-11-21,0.0,0.0,52.7,2.3
1964-11-22,2.5,0.2,70.7,6.0
1964-11-23,0.25,0.4,57.0,2.3
1964-11-24,0.0,0.0,59.3,0.0
1964-11-25,0.0,0.0,75.3,6.7
1964-11-26,0.0,0.0,81.0,6.0
1964-11-27,0.0,0.0,80.0,4.3
1964-11-28,0.0,0.0,84.0,4.7
1964-11-29,1.13,0.0,81.0,10.0
1964-11-30,0.0,0.0,55.0,0.0
1964-12-01,0.0,0.0,46.7,0.0
1964-12-02,0.0,0.0,56.3,0.0
1964-12-03,0.0,0.0,73.3,1.3
1964-12-04,0.0,0.0,68.7,1.3
1964-12-05,9.38,2.8,83.3,9.3
1964-12-06,1.7,0.0,72.3,4.0
1964-12-07,1.78,0.1,85.0,4.3
1964-12-08,0.0,0.0,84.7,5.0
1964-12-09,0.0,0.0,64.7,1.0
1964-12-10,0.0,0.0,57.0,3.3
1964-12-11,0.0,0.0,55.7,0.0
1964-12-12,0.0,0.0,73.3,0.0
1964-12-13,5.17,0.6,87.3,6.7
1964-12-14,0.1,0.0,88.7,9.0
1964-12-15,1.17,0.0,74.0,3.0
1964-12-16,0.0,0.0,76.0,2.0
1964-12-17,0.15,0.0,80.0,6.7
1964-12-18,1.77,0.6,74.0,6.3
1964-12-19,1.72,0.0,86.7,9.3
1964-12-20,1.78,1.6,85.0,5.0
1964-12-21,1.83,1.0,86.0,9.3
1964-12-22,0.0,0.0,88.0,6.0
1964-12-23,0.27,0.0,89.7,6.7
1964-12-24,2.88,0.3,88.0,3.7
1964-12-25,0.0,0.0,76.7,1.3
1964-12-26,0.0,0.0,71.0,0.0
1964-12-27,0.0,0.0,74.3,0.0
1964-12-28,0.0,0.0,76.7,0.3
1964-12-29,1.27,1.1,94.3,10.0
1964-12-30,5.2,6.9,75.0,4.3
1964-12-31,0.0,0.0,70.3,6.7
1965-01-01,2.17,0.3,73.8,5.0
1965-01-02,0.0,0.0,60.8,1.8
1965-01-03,2.07,0.5,69.8,2.5
1965-01-04,0.0,0.0,57.5,1.0
1965-01-05,0.0,0.0,72.3,0.0
1965-01-06,10.75,1.7,87.3,10.0
1965-01-07,2.15,2.5,94.5,7.5
1965-01-08,0.0,0.0,62.5,1.8
1965-01-09,0.0,0.0,58.0,0.0
1965-01-10,3.22,3.4,64.8,3.3
1965-01-11,0.0,0.0,64.3,3.8
1965-01-12,3.33,0.0,74.0,6.5
1965-01-13,1.52,0.0,71.5,7.0
1965-01-14,0.33,0.0,79.5,2.5
1965-01-15,7.47,0.8,82.5,8.8
1965-01-16,0.0,0.0,71.8,0.0
1965-01-17,0.0,0.0,66.5,4.3
1965-01-18,3.72,3.3,72.3,10.0
1965-01-19,0.0,0.0,87.3,6.5
1965-01-20,0.0,0.0,77.5,4.5
1965-01-21,0.0,0.0,80.8,1.8
1965-01-22,1.4,0.0,78.8,3.5
1965-01-23,0.0,0.0,54.0,2.5
1965-01-24,0.0,0.0,60.0,0.0
1965-01-25,0.0,0.0,76.5,1.5
1965-01-26,1.78,0.0,79.0,10.0
1965-01-27,0.0,0.0,70.8,0.0
1965-01-28,0.0,0.0,85.8,5.8
1965-01-29,0.0,0.0,77.3,8.3
1965-01-30,0.0,0.0,81.5,1.0
1965-01-31,6.68,4.4,82.3,8.8
1965-02-01,1.03,0.2,61.3,0.0
1965-02-02,1.77,0.1,51.0,2.5
1965-02-03,0.0,0.0,47.5,0.0
1965-02-04,0.18,0.0,72.5,7.0
1965-02-05,4.37,0.7,62.0,2.5
1965-02-06,1.62,0.6,76.0,4.8
1965-02-07,0.0,0.0,86.3,3.3
1965-02-08,0.0,0.0,87.8,9.5
1965-02-09,0.0,0.0,87.0,8.0
1965-02-10,0.0,0.0,82.0,7.0
1965-02-11,0.0,0.0,74.5,0.0
1965-02-12,0.0,0.0,75.3,2.0
1965-02-13,3.38,3.4,91.0,9.5
1965-02-14,0.0,0.0,67.8,2.5
1965-02-15,0.0,0.0,61.5,1.3
1965-02-16,0.0,0.0,82.0,7.3
1965-02-17,0.0,0.0,74.8,9.5
1965-02-18,0.0,0.0,70.5,4.8
1965-02-19,0.0,0.0,80.3,7.5
1965-02-20,3.72,1.3,81.0,8.5
1965-02-21,0.0,0.0,53.8,3.5
1965-02-22,0.0,0.0,58.3,0.3
1965-02-23,2.18,1.2,57.3,3.8
1965-02-24,0.0,0.0,42.3,0.0
1965-02-25,0.0,0.0,46.0,0.0
1965-02-26,0.0,0.0,63.0,0.0
1965-02-27,0.0,0.0,76.3,3.0
1965-02-28,0.0,0.0,62.3,1.3
1965-03-01,0.0,0.0,60.5,3.3
1965-03-02,0.0,0.0,73.5,4.5
1965-03-03,0.13,0.0,74.3,7.5
1965-03-04,0.0,0.0,58.8,0.8
1965-03-05,0.0,0.0,60.3,0.0
1965-03-06,3.75,0.8,78.3,6.0
1965-03-07,0.0,0.0,62.0,2.0
1965-03-08,0.0,0.0,74.0,1.5
1965-03-09,0.53,0.0,56.5,7.3
1965-03-10,0.0,0.0,57.5,0.0
1965-03-11,0.42,0.0,83.0,7.5
1965-03-12,0.0,0.0,67.5,0.3
1965-03-13,0.0,0.0,71.5,0.0
1965-03-14,0.93,0.6,58.3,5.0
1965-03-15,12.83,21.4,89.8,10.0
1965-03-16,4.57,1.2,88.3,9.5
1965-03-17,0.0,0.0,63.5,2.0
1965-03-18,0.0,0.0,79.8,3.8
1965-03-19,0.0,0.0,53.5,2.3
1965-03-20,0.0,0.0,54.3,0.3
1965-03-21,0.0,0.0,81.3,2.5
1965-03-22,0.0,0.0,78.8,3.3
1965-03-23,0.95,0.0,73.3,8.0
1965-03-24,0.0,0.0,69.5,2.3
1965-03-25,0.0,0.0,53.3,0.3
1965-03-26,0.0,0.0,50.8,2.0
1965-03-27,0.0,0.0,58.8,1.0
1965-03-28,0.33,0.0,85.3,2.5
1965-03-29,0.0,0.0,70.5,0.3
1965-03-30,0.0,0.0,74.0,5.3
1965-03-31,5.4,6.3,85.3,5.0
1965-04-01,0.0,0.0,56.5,0.3
1965-04-02,0.0,0.0,63.8,0.3
1965-04-03,0.0,0.0,69.5,3.3
1965-04-04,0.0,0.0,61.3,4.5
1965-04-05,0.0,0.0,53.8,0.0
1965-04-06,0.0,0.0,73.5,1.8
